Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
1913.13,-0.47,-0.45,-0.75,-0.32
1913.21,-0.52,-0.42,-0.59,-0.39
1913.29,-0.33,-0.39,-0.37,-0.40
1913.38,-0.56,-0.44,-0.53,-0.39
1913.46,-0.52,-0.45,-0.38,-0.42
1913.54,-0.24,-0.36,-0.19,-0.43
1913.63,-0.17,-0.33,-0.14,-0.42
1913.71,-0.15,-0.34,-0.20,-0.42
1913.79,-0.25,-0.32,-0.30,-0.33
1913.88,-0.17,-0.20,0.16,-0.30
1913.96,0.04,-0.02,0.54,-0.25
1914.04,0.17,0.05,0.84,-0.19
1914.13,-0.05,-0.10,0.16,-0.21
1914.21,-0.10,-0.24,-0.20,-0.24
1914.29,-0.20,-0.29,-0.24,-0.28
1914.38,-0.03,-0.21,0.06,-0.30
1914.46,-0.10,-0.25,0.03,-0.34
1914.54,-0.23,-0.23,-0.11,-0.27
1914.63,-0.12,-0.16,-0.15,-0.21
1914.71,-0.14,-0.16,-0.18,-0.19
1914.79,0.13,-0.03,0.13,-0.13
1914.88,-0.30,-0.15,-0.24,-0.09
1914.96,-0.16,-0.04,-0.19,-0.05
1915.04,-0.20,-0.20,-0.31,-0.11
1915.13,-0.01,-0.03,0.12,-0.07
1915.21,-0.18,-0.10,-0.25,-0.02
1915.29,-0.04,0.07,0.32,-0.03
1915.38,-0.21,-0.06,0.13,-0.10
1915.46,-0.25,-0.22,-0.15,-0.19
1915.54,-0.03,-0.12,0.02,-0.17
1915.63,-0.22,-0.22,-0.13,-0.19
1915.71,-0.03,-0.20,-0.24,-0.20
1915.79,-0.06,-0.24,-0.36,-0.19
1915.88,0.00,-0.13,0.22,-0.23
1915.96,-0.17,-0.21,-0.07,-0.19
1916.04,-0.09,-0.12,-0.06,-0.17
1916.13,-0.13,-0.14,-0.19,-0.14
1916.21,-0.44,-0.28,-0.43,-0.19
1916.29,-0.25,-0.30,-0.32,-0.27
1916.38,-0.40,-0.35,-0.31,-0.32
1916.46,-0.51,-0.49,-0.65,-0.40
1916.54,-0.34,-0.37,-0.28,-0.41
1916.63,-0.19,-0.28,-0.24,-0.32
1916.71,-0.22,-0.36,-0.36,-0.36
1916.79,-0.27,-0.33,-0.37,-0.37
1916.88,-0.46,-0.46,-0.49,-0.46
1916.96,-0.78,-0.81,-1.44,-0.51
1917.04,-0.46,-0.56,-0.37,-0.61
1917.13,-0.66,-0.63,-0.86,-0.53
1917.21,-0.79,-0.63,-0.93,-0.52
1917.29,-0.55,-0.54,-0.65,-0.48
1917.38,-0.76,-0.55,-0.96,-0.39
1917.46,-0.40,-0.43,-0.52,-0.39
1917.54,-0.03,-0.25,-0.16,-0.33
1917.63,-0.35,-0.22,-0.35,-0.20
1917.71,-0.33,-0.22,-0.23,-0.22
1917.79,-0.51,-0.44,-0.83,-0.29
1917.88,-0.39,-0.34,-0.12,-0.36
1917.96,-0.92,-0.67,-1.55,-0.25
1918.04,-0.69,-0.47,-0.82,-0.25
1918.13,-0.55,-0.34,-0.59,-0.25
1918.21,-0.47,-0.24,-0.21,-0.27
